Publisher,IATI Organisation Identifier,Organization Type,HQ Country or Region,Datasets Count,Datasets Link
Wereldsolidariteit-Solidarité Mondiale (WSM),BE-BCE_KBO-0413986102,National NGO,Belgium,2,https://iatiregistry.org/publisher/wsm
Academy for Health Development (AHEAD),NG-CAC-692943,"Academic, Training and Research",Nigeria,2,https://iatiregistry.org/publisher/ahead
Rode Kruis-Vlaanderen Internationaal vzw,BE-BCE_KBO-0461634084,National NGO,Belgium,2,https://iatiregistry.org/publisher/rkiv
SCI Projets Internationaux ASBL_Service Civil International branche belge,BE-BCE_KBO-0410661673,National NGO,Belgium,2,https://iatiregistry.org/publisher/scibelgium
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,BE-BCE_KBO-0432552989,National NGO,Belgium,2,https://iatiregistry.org/publisher/fos
Institute for International Workers Education,BE-BCE_KBO-0445412518,National NGO,Belgium,2,https://iatiregistry.org/publisher/iiwe
Aga Khan Foundation Afghanistan,AF-MOE-138,Foundation,Afghanistan,2,https://iatiregistry.org/publisher/akf_afghanistan
ULB-Coopération,BE-BCE_KBO-0415627875,National NGO,Belgium,2,https://iatiregistry.org/publisher/ulbcoop
NIRAS A/S,DK-CVR-37295728,Private Sector,Denmark,2,https://iatiregistry.org/publisher/niras
GOGLA - Global Off-Grid Lighting Association,NL-KVK-62066064,Private Sector,Netherlands,1,https://iatiregistry.org/publisher/gogla
African Population and Health Research Center,US-EIN-06-1608361,International NGO,United States,1,https://iatiregistry.org/publisher/aphrc
Enfance Tiers Monde Kinderen Derde Wereld,BE-BCE_KBO-0409451054,National NGO,Belgium,2,https://iatiregistry.org/publisher/etmkdw
Women's Action Group,ZW-ROD-MA988/87,National NGO,Zimbabwe,1,https://iatiregistry.org/publisher/wag-1983
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,BE-BCE_KBO-0408628435,International NGO,Belgium,3,https://iatiregistry.org/publisher/svdbskb_admin
EngenderHealth Ethiopia,ET-CSA-1233,International NGO,Ethiopia,2,https://iatiregistry.org/publisher/engenderhealth_eth
Chemonics International Inc.,US-EIN-52-2145827,Private Sector,United States,2,https://iatiregistry.org/publisher/chemonics
Fairtrade Belgium,BE-BCE_KBO-0441988715,National NGO,Belgium,4,https://iatiregistry.org/publisher/fairtrade_be
ABAAD - Resource Center for Gender Equality,LB-MOI-497,National NGO,Lebanon,2,https://iatiregistry.org/publisher/arcfge
People's Process on Housing and Poverty in Zambia,ZM-PCR-10104052014,International NGO,Zambia,2,https://iatiregistry.org/publisher/pphpz
Sensorial Handicap Cooperation,BE-BCE_KBO-0431955945,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/shc
Association pour la Promotion de l'Education et de la Formation à l'Etranger,BE-BCE_KBO-0415880570,Other Public Sector,Belgium,11,https://iatiregistry.org/publisher/apefe
Défi Belgique Afrique,BE-BCE_KBO-0433439550,National NGO,Belgium,2,https://iatiregistry.org/publisher/dba
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,BE-BCE_KBO-0463455904,National NGO,Belgium,5,https://iatiregistry.org/publisher/cdeb-kvhb_admin
Handicap International Belgique,BE-BCE_KBO-0432235661,National NGO,Belgium,2,https://iatiregistry.org/publisher/hib
Miel Maya Honing asbl,BE-BCE_KBO-0415426155,National NGO,Belgium,2,https://iatiregistry.org/publisher/mmha
Access to Medicine Foundation,NL-KVK-34185938,Foundation,Netherlands,1,https://iatiregistry.org/publisher/atmf
VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM,BE-BCE_KBO-0442168263,National NGO,Belgium,2,https://iatiregistry.org/publisher/vsfbelgium
Rotary Clubs For Development,BE-BCE_KBO-0419189557,National NGO,Belgium,3,https://iatiregistry.org/publisher/rc4d
RCN Justice & Démocratie,BE-BCE_KBO-0454555163,National NGO,Belgium,2,https://iatiregistry.org/publisher/rcn
Medecins du Monde Belgique - Dokters van de Wereld Belgïe,BE-BCE_KBO-0460162753,National NGO,Belgium,10,https://iatiregistry.org/publisher/medecins
VIA Don Bosco,BE-BCE_KBO-0413119733,National NGO,Belgium,2,https://iatiregistry.org/publisher/via-db
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,BE-BCE_KBO-0462132150,National NGO,Belgium,2,https://iatiregistry.org/publisher/crb-ai_admin
Djapo,BE-BCE_KBO-0408022778,National NGO,Belgium,2,https://iatiregistry.org/publisher/djapo
Rikolto in Belgium,BE-BCE_KBO-0420656336,National NGO,Belgium,2,https://iatiregistry.org/publisher/rikolto_belgium
Unicef Belgium National Committee,BE-BCE_KBO-0407562029,National NGO,Belgium,2,https://iatiregistry.org/publisher/ub
Rikolto,BE-BCE_KBO-0662878501,Foundation,Belgium,2,https://iatiregistry.org/publisher/rikolto
Broederlijk Delen,BE-BCE_KBO-0418088113,National NGO,Belgium,16,https://iatiregistry.org/publisher/bd
Protos,BE-BCE_KBO-0417299047,National NGO,Belgium,2,https://iatiregistry.org/publisher/protos
Studio Globo,BE-BCE_KBO-0479866027,"Academic, Training and Research",Belgium,3,https://iatiregistry.org/publisher/sg
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,BE-BCE_KBO-0478060441,National NGO,Belgium,2,https://iatiregistry.org/publisher/bismsi
BOS+ tropen,BE-BCE_KBO-0479222461,National NGO,Belgium,1,https://iatiregistry.org/publisher/bos_plus_tropen
FIAN Belgium,BE-BCE_KBO-0432622077,National NGO,Belgium,3,https://iatiregistry.org/publisher/fian-belgium
Benelux Afro Center,BE-BCE_KBO-0463729878,National NGO,Belgium,2,https://iatiregistry.org/publisher/bac
Solsoc,BE-BCE_KBO-0432624255,National NGO,Belgium,12,https://iatiregistry.org/publisher/solsoc
Auto-Développement Afrique (ADA),BE-BCE_KBO-0408095925,National NGO,Belgium,2,https://iatiregistry.org/publisher/ada
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,BE-BCE_KBO-0416934803,National NGO,Belgium,2,https://iatiregistry.org/publisher/fucid
COMMISSION JUSTICE ET PAIX ASBL (cjp),BE-BCE_KBO-0418399305,National NGO,Belgium,2,https://iatiregistry.org/publisher/cjp
World Wide Fund for Nature Belgium (WWF-BE),BE-BCE_KBO-0408656248,National NGO,Belgium,2,https://iatiregistry.org/publisher/wwf-be
GEOMOUN ASBL,BE-BCE_KBO-0472089102,National NGO,Belgium,6,https://iatiregistry.org/publisher/geomoun
Congodorpen vzw,BE-BCE_KBO-0408256667,National NGO,Belgium,4,https://iatiregistry.org/publisher/congodorpen
Agulhas Applied Knowledge,GB-COH-04644326,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/aak
FONCABA ASBL KBA VZW,BE-BCE_KBO-0409597544,National NGO,Belgium,2,https://iatiregistry.org/publisher/foncaba
Eclosio,BE-BCE_KBO-0432503697,National NGO,Belgium,2,https://iatiregistry.org/publisher/eclosio
Universitair Centrum voor Ontwikkelingssamenwerking,BE-BCE_KBO-0420790948,National NGO,Belgium,2,https://iatiregistry.org/publisher/ucos
Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW,BE-BCE_KBO-0421210424,National NGO,Belgium,2,https://iatiregistry.org/publisher/111111_publisher
Oxfam Wereldwinkels,BE-BCE_KBO-0415365777,National NGO,Belgium,2,https://iatiregistry.org/publisher/oww
Queen Rania Foundation for Education and Development,JO-MSD-2013011100066,National NGO,Jordan,3,https://iatiregistry.org/publisher/qrfed
Forum for Africa Women Educationalist Regional Secretariat,KE-NCB-218.051.93197.173,Regional NGO,Kenya,1,https://iatiregistry.org/publisher/fawe-rs
PRACTICA Foundation,NL-KVK-09119363,Foundation,Netherlands,2,https://iatiregistry.org/publisher/practica
IREX (International Research and Exchange Board),US-EIN-22-3087809,International NGO,United States,2,https://iatiregistry.org/publisher/irex
International Organization for Migration (IOM),XM-DAC-47066,Multilateral,Switzerland,2,https://iatiregistry.org/publisher/iom
KIYO,BE-BCE_KBO-0416867297,International NGO,Belgium,2,https://iatiregistry.org/publisher/kiyo
C40 Cities Climate Leadership Group,US-EIN-900634376,"Academic, Training and Research",United States,1,https://iatiregistry.org/publisher/c40cities
British & Irish Agencies Afghanistan Group,GB-CHC-1135700,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/baag
Académie de recherche et d'enseignement supérieur,BE-BCE_KBO-0546740696,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/ares
Dynamo International asbl,BE-BCE_KBO-0474912493,National NGO,Belgium,2,https://iatiregistry.org/publisher/dynamo_international
Quinoa,BE-BCE_KBO-0445741823,National NGO,Belgium,2,https://iatiregistry.org/publisher/quinoa
Echos Communication,BE-BCE_KBO-0443262185,National NGO,Belgium,2,https://iatiregistry.org/publisher/ec
Médecins Sans Vacances,BE-BCE_KBO-0448723978,National NGO,Belgium,2,https://iatiregistry.org/publisher/msv
Comité pour l'abolition des dettes illégitimes,BE-BCE_KBO-0446340550,National NGO,Belgium,2,https://iatiregistry.org/publisher/cadtm
ITECO - Centre de formation pour le développement,BE-BCE_KBO-0415499795,National NGO,Belgium,3,https://iatiregistry.org/publisher/iteco
ACTION AGAINST HUNGER SPAIN,ES-CIF-G81164105,International NGO,Spain,7,https://iatiregistry.org/publisher/acfspain
Damiaanactie / Action Damien,BE-BCE_KBO-0406694670,National NGO,Belgium,2,https://iatiregistry.org/publisher/damien-foundation
UWEZO Youth Empowerment,RW-RGB-101-RGB-NGO-2014,National NGO,Rwanda,1,https://iatiregistry.org/publisher/uwezo_youth_empowerment
Stichting Aidenvironment,NL-KVK-41208024,Foundation,Netherlands,5,https://iatiregistry.org/publisher/aidenvironment
Plan International Belgium,BE-BCE_KBO-0425420917,National NGO,Belgium,7,https://iatiregistry.org/publisher/pib
RUAF Foundation,NL-KVK-32102434,Foundation,Netherlands,5,https://iatiregistry.org/publisher/ruaf
Population Media Center,US-EIN-030358029,International NGO,United States,1,https://iatiregistry.org/publisher/pmc
Le Monde selon les femmes asbl,BE-BCE_KBO-0430826290,National NGO,Belgium,2,https://iatiregistry.org/publisher/mondefemmes
Coopération par l'Education et la Culture,BE-BCE_KBO-0417549465,National NGO,Belgium,2,https://iatiregistry.org/publisher/cec
Danmission,DK-CVR-25191501,National NGO,Denmark,2,https://iatiregistry.org/publisher/danmission
Network For Enterprise Enhancement and Development Support,IN-MHA-337680017,National NGO,India,1,https://iatiregistry.org/publisher/needs
Fundación Oriéntame,CO-RUE-860049972,National NGO,Colombia,2,https://iatiregistry.org/publisher/orientame
International Federation of Accountants,CH-FDJP-CHE102197003,International NGO,Switzerland,1,https://iatiregistry.org/publisher/ifac
Clinton Health Access Initiative,US-EIN-27-1414646,International NGO,United States,1,https://iatiregistry.org/publisher/chai
Action Against Hunger USA,US-EIN-13-3327220,International NGO,United States,1,https://iatiregistry.org/publisher/aahusa
ODI Sales Limited,GB-COH-07157505,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/odi_sales_ltd
AVSI FOUNDATION IN UGANDA,UG-NGB-5914-129,International NGO,Uganda,3,https://iatiregistry.org/publisher/avsi_uganda
African Women's Development Fund,GH-DSW-2046,Regional NGO,Ghana,1,https://iatiregistry.org/publisher/awdf
IFOAM - Organics International,DE-CR-BonnVR8726,International NGO,Germany,2,https://iatiregistry.org/publisher/ifoam
The MENTOR Initiative,GB-COH-05126149,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/the_mentor_initiative
Bangladesh Nari Progati Sangha,BD-NAB-0271,National NGO,Bangladesh,1,https://iatiregistry.org/publisher/bnps
Transparency International UK,GB-CHC-1112842,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/ti-uk
Energy 4 Impact,GB-CHC-1119168,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/e4i
Center for Civilians in Conflict,US-EIN-75-3130860,International NGO,United States,4,https://iatiregistry.org/publisher/civic_admin
Raleigh International,GB-CHC-1047653,International NGO,United Kingdom,3,https://iatiregistry.org/publisher/raleigh_int
Solidagro,BE-BCE_KBO-0410757386,"Academic, Training and Research",Belgium,2,https://iatiregistry.org/publisher/solidagro_admin
NLR,NL-KVK-41199723,International NGO,Netherlands,2,https://iatiregistry.org/publisher/nlr
Economic and Social Research Foundation (ESRF),TZ-TRA-101-091-759,"Academic, Training and Research","Tanzania, United Republic of",2,https://iatiregistry.org/publisher/esrf
Right to Play Netherlands Foundation,NL-KVK-24365461,International NGO,Netherlands,2,https://iatiregistry.org/publisher/rtp
VEI (Vitens-Evides International),NL-KVK-08134161,Private Sector,Netherlands,1,https://iatiregistry.org/publisher/vei_nl
International Federation of the Red Cross and Red Crescent (IFRC),XM-DAC-21018,International NGO,Switzerland,46,https://iatiregistry.org/publisher/ifrcrcs
Bucks Community NGO,UG-NGB-10890,National NGO,Uganda,1,https://iatiregistry.org/publisher/bucksfarm
International Monetary Fund,XM-DAC-43000,Multilateral,United States,1,https://iatiregistry.org/publisher/imf
Association of Commonwealth Universities,GB-CHC-314137,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/acu
"NpM, Platform for Inclusive Finance",NL-KVK-56185154,National NGO,Netherlands,2,https://iatiregistry.org/publisher/npm
Tropical Health and Education Trust,GB-CHC-1113101,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/tropicalhealth
Johns Hopkins University,US-EIN-52-0595110,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/gi-jhu
MDF Global,NL-KVK-56821743,Foundation,Netherlands,1,https://iatiregistry.org/publisher/mdf
International Council of Voluntary Agencies,CH-FDJP-CHE100871337,International NGO,Switzerland,1,https://iatiregistry.org/publisher/icva
Iraq Foundation,US-EIN-521750875,International NGO,United States,2,https://iatiregistry.org/publisher/iraq_foundation
Oxfam Intermón,ES-CIF-G-8236803,International NGO,Spain,2,https://iatiregistry.org/publisher/oxfamintermon
United Nations Industrial Development Organization (UNIDO),XM-DAC-41123,Multilateral,(No country assigned),2,https://iatiregistry.org/publisher/unido
Savana Signatures,GH-DSW-4711,National NGO,Ghana,1,https://iatiregistry.org/publisher/savsign-org
Development Organisation of the Rural Poor,BD-NAB-0682,National NGO,Bangladesh,1,https://iatiregistry.org/publisher/dorp-org
Institut de Formation Syndical International - Internationaal Syndicaal Vormingsinstituut,BE-BCE_KBO-0453072647,National NGO,Belgium,14,https://iatiregistry.org/publisher/ifsi_isvi
the center for victimized women and children,MW-CNM-C057/1998,National NGO,Malawi,1,https://iatiregistry.org/publisher/cavwoc
equileap,NL-KVK-65306198,International NGO,Netherlands,2,https://iatiregistry.org/publisher/equileap
Family Life Education Program,UG-NGB-1826,National NGO,Uganda,1,https://iatiregistry.org/publisher/flepuganda
University College London,GB-COH-RC000631,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/ucl
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),TZ-TRA-101-304-795,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/umati
Centre for the Study of Adolescence,KE-NCB-218/051/96110/823,"Academic, Training and Research",Kenya,1,https://iatiregistry.org/publisher/csa-kenya
Joshua Orphan and Community Care,GB-CHC-1114727,International NGO,(No country assigned),2,https://iatiregistry.org/publisher/jocc_uk
Royal Netherlands Football Association,NL-KVK-40478591,Other Public Sector,Netherlands,2,https://iatiregistry.org/publisher/knvb
Light For The World Belgium,BE-BCE_KBO-0460240749,National NGO,Belgium,2,https://iatiregistry.org/publisher/lftw-be
Voluntary Health Association of India,IN-MHA-231650063,"Academic, Training and Research",(No country assigned),1,https://iatiregistry.org/publisher/vhai-org
ADRA Denmark,DK-CVR-20074035,National NGO,Denmark,2,https://iatiregistry.org/publisher/adra-dk
ADS-Nyanza,KE-RCO-78260,Other Public Sector,Kenya,1,https://iatiregistry.org/publisher/ads-nyanza
Solidaridad South & South-East Asia,HK-CR-1494242,International NGO,India,2,https://iatiregistry.org/publisher/solidaridad-ssea
Solidaridad West Africa,GH-DSW-5574,International NGO,Ghana,2,https://iatiregistry.org/publisher/solidaridad-waf
Fiabel,XI-IATI-FIABEL,National NGO,Belgium,2,https://iatiregistry.org/publisher/fiabel
CARE SOMALIA,KE-NCB-218/051/9384/74,National NGO,Kenya,2,https://iatiregistry.org/publisher/csom1
D. Capital Partners,GB-COH-07627789,Public Private Partnership,United Kingdom,1,https://iatiregistry.org/publisher/dcapitalpartners
The Princess Alia Foundation,JO-MSD-2009011100178,Foundation,Jordan,1,https://iatiregistry.org/publisher/paf_2018
Irise International,GB-CHC-1157722,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/irise_int
"Iringa Development of Youth, Disabled and Children Care",TZ-TRA-102316134,National NGO,"Tanzania, United Republic of",2,https://iatiregistry.org/publisher/idydc
Babawatoto Centre For Children and Youth,TZ-TRA-116315386,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/bawacecy-tz
Railway Children Africa,TZ-TRA-110-664-087,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/rc2africa
"The Global Development Incubator, Inc",US-EIN-14-1945286,International NGO,United States,2,https://iatiregistry.org/publisher/gdi
CHEKA SANA TANZANIA,TZ-TRA-121406209,National NGO,"Tanzania, United Republic of",1,https://iatiregistry.org/publisher/cst
Worldwide Hospice Palliative Care Alliance,GB-COH-06735120,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/whpca
The University of Manchester,GB-COH-RC000797,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/uom
INTERSOS Onlus,IT-CF-97091470589,International NGO,Italy,2,https://iatiregistry.org/publisher/intersos_main
UK – Department for Education,GB-GOV-14,Government,United Kingdom,2,https://iatiregistry.org/publisher/dfe
GiveDirectly,US-EIN-27-1661997,International NGO,United States,3,https://iatiregistry.org/publisher/givedirectly
Karuna Mission Social Solidarity - KMSS,MM-MHA-1/Local/0047,National NGO,Myanmar,1,https://iatiregistry.org/publisher/kmss
Mastercard Foundation,CA-CRA_ACR-817387277,Foundation,Canada,2,https://iatiregistry.org/publisher/mastercard-foundation
BRAC,BD-NAB-002,International NGO,Bangladesh,2,https://iatiregistry.org/publisher/brac_admin2
Royal College of General Practitioners (RCGP),GB-CHC-223106,National NGO,United Kingdom,1,https://iatiregistry.org/publisher/rcgp-international
Brigham and Women's Hospital,US-EIN-042312909,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/bwh
FHI360,US-EIN-237413005,International NGO,United States,2,https://iatiregistry.org/publisher/fhi360
World Agroforestry Centre,XM-DAC-47056,"Academic, Training and Research",Kenya,2,https://iatiregistry.org/publisher/icraf_
Abt Britain Limited,GB-COH-10633588,Private Sector,United Kingdom,2,https://iatiregistry.org/publisher/abtbritain
Royal College of Obstetricians & Gynaecologists,GB-CHC-213280,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/rcog_resilience_in_obstetric_skills
International Institute for Environment and Development,GB-COH-02188452,"Academic, Training and Research",United Kingdom,1,https://iatiregistry.org/publisher/iied
Northern Rangelands Trust,KE-KRA-P051311853T,National NGO,Kenya,3,https://iatiregistry.org/publisher/nrt-kenya
Alliance of Religions and Conservation,GB-CHC-1047608,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/alliance_of_religions_and_conservation
YWCA of Bangladesh,BD-NAB-051,National NGO,Bangladesh,1,https://iatiregistry.org/publisher/ywcabd
Concern Worldwide,IE-CHY-20009090,International NGO,Ireland,2,https://iatiregistry.org/publisher/concern_worldwide
"Social Fund for Development, Yemen",XM-OCHA-FTS18563,Other Public Sector,Yemen,5,https://iatiregistry.org/publisher/sfd-yemen
International Fertilizer Development Center,US-EIN-63-0676451,International NGO,United States,2,https://iatiregistry.org/publisher/ifdc-us
Multilateral Investment Fund,XI-IATI-MIF,Multilateral,United States,27,https://iatiregistry.org/publisher/fomin
Acumen,US-EIN-134166228,International NGO,United States,1,https://iatiregistry.org/publisher/acumen
Consortium for Street Children,GB-CHC-1046579,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/csc
CINI,IN-MHA-147110006,National NGO,India,1,https://iatiregistry.org/publisher/cini_jhk
Afrikagrupperna Sweden,SE-ON-802007-2446,International NGO,Sweden,1,https://iatiregistry.org/publisher/afrikagrupperna
United Nations Office for the Coordination of Humanitarian Affairs (Specially-Designated Contributions),XI-IATI-OCHASDC,Multilateral,United States,3,https://iatiregistry.org/publisher/unocha-sdc
NORSAAC,GH-DSW-4834,National NGO,Ghana,1,https://iatiregistry.org/publisher/norsaac
Concordis International,GB-COH-04930461,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/concordis
Fundacion Acceso,CR-RPJ-3-006-125548,Regional NGO,Costa Rica,1,https://iatiregistry.org/publisher/fundacion-acceso
PATH,US-EIN-91-1157127,International NGO,United States,2,https://iatiregistry.org/publisher/_path_
Water Integrity Network Association,DE-CR-VR32914,International NGO,Germany,2,https://iatiregistry.org/publisher/win
Musalaha Ministry of Reconciliation,IL-RA-580166452,"Academic, Training and Research",Israel,1,https://iatiregistry.org/publisher/mmr_admin2
CARE International Afghanistan,AF-MOE-22,International NGO,Afghanistan,2,https://iatiregistry.org/publisher/ciafg
Energy Saving Trust,GB-COH-02622374,Other Public Sector,United Kingdom,2,https://iatiregistry.org/publisher/energy_saving_trust
DKT - (Pakistan),PK-SEC-0080655,Private Sector,Pakistan,6,https://iatiregistry.org/publisher/dkt
Mzumbe University,XI-GRID-grid.442465.5,"Academic, Training and Research","Tanzania, United Republic of",2,https://iatiregistry.org/publisher/m_u
AIDSPAN,US-EIN-32-0060251,International NGO,United States,2,https://iatiregistry.org/publisher/aidspan
Kisumu Medical and Education Trust,KE-KRA-P051119468K,National NGO,Kenya,1,https://iatiregistry.org/publisher/kmet
International Trade Centre (ITC),XM-DAC-45001,International NGO,Switzerland,2,https://iatiregistry.org/publisher/itc
Oxfam Australia,AU-ACNC-18055208636,International NGO,Australia,29,https://iatiregistry.org/publisher/oau
Solidarites International,FR-RCS-389515180,International NGO,France,5,https://iatiregistry.org/publisher/solidarites-international
American Friends Service Committee,US-EIN-23-1352010,"Academic, Training and Research",United States,1,https://iatiregistry.org/publisher/afsc
BRAC University,XI-GRID-grid.52681.38,"Academic, Training and Research",Bangladesh,2,https://iatiregistry.org/publisher/bu
Transparency International Kenya,KE-RCO-84486,National NGO,Kenya,2,https://iatiregistry.org/publisher/ti_kenya
DeafKidz International,GB-CHC-1151219,International NGO,United Kingdom,2,https://iatiregistry.org/publisher/dki1151219
AVT-L Association of Victims of Terrorism Lebanon,LB-MOI-853,National NGO,Lebanon,2,https://iatiregistry.org/publisher/avt-l
"Rehabilitation, Education and Community Health (REACH)",IQ-NGO-1Z2634,National NGO,Iraq,1,https://iatiregistry.org/publisher/reach-iraq
United Nations High Commissioner for Refugees (UNHCR),XM-DAC-41121,Multilateral,Switzerland,8,https://iatiregistry.org/publisher/unhcr
Ministry of Foreign Affairs of  Japan,XM-DAC-701-2,Government,Japan,4,https://iatiregistry.org/publisher/mofa-jpn
AgResults Initiative,XI-IATI-AGR,Multilateral,(No country assigned),11,https://iatiregistry.org/publisher/agresults
"Institut National de l'Eau, Benin",BJ-IFU-4201710116446,"Academic, Training and Research",Benin,2,https://iatiregistry.org/publisher/ine_benin
Agence Nationale d'Approvisionnement en Eau Potable en Milieu Rural du Benin,BJ-IFU-4201710182326,Government,Benin,2,https://iatiregistry.org/publisher/anaepmr_benin
Index Initiative Foundation,NL-KVK-70292388,Foundation,Netherlands,2,https://iatiregistry.org/publisher/iif
New York University,US-EIN-13-5562308,"Academic, Training and Research",United States,2,https://iatiregistry.org/publisher/nyu
Commune de Dangbo - Benin,BJ-IFU-4201710012551,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/dangbo
Commune de Adjarra - Bénin,BJ-IFU-6201810251129,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adjarra
Commune de Parakou - Bénin,BJ-IFU-6201000068802,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/parakou
Commune de Toffo - Bénin,BJ-IFU-5200081145006,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/toffo
Commune de Toviklin - Bénin,BJ-IFU-6200901945503,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/toviklin
Commune de Kpomassè - Bénin,BJ-IFU-6201101182902,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/kpomasse
Commune de Zè - Bénin,BJ-IFU-6200801257400,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ze
Commune de Allada - Bénin,BJ-IFU-6201501755307,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/allada
Commune de Aplahoué - Bénin,BJ-IFU-6201001076902,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/aplahoue
Commune de Lalo - Bénin,BJ-IFU-6200901944805,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/lalo
Commune de Kétou - Bénin,BJ-IFU-6200901851300,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ketou
Commune de Adjohoun - Bénin,BJ-IFU-5200801335602,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adjohoun
Commune de Adja-Ouere - Bénin,BJ-IFU-6200901944008,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/adja-ouere
Commune de Pobè - Bénin,BJ-IFU-6201200579608,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/pobe
Commune de Bopa - Bénin,BJ-IFU-6200901944209,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/bopa
Commune de Akpro-Missérété - Bénin,BJ-IFU-6201001843703,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/akpro-misserete
Commune de Comè - Bénin,BJ-IFU-6201000370801,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/come
Commune de Avrankou - Bénin,BJ-IFU-6201300688700,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/avrankou
Commune de Ifangni - Bénin,BJ-IFU-6201100143407,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/ifangni
We Effect,SE-ON-802004-1524,International NGO,Sweden,1,https://iatiregistry.org/publisher/weeffect
Commune de Klouékanmè - Bénin,BJ-IFU-6201100034408,Other Public Sector,Benin,2,https://iatiregistry.org/publisher/klouekanme
National Coalition of Human Rights Defenders - Kenya,KE-KRA-P051502549C,National NGO,Kenya,1,https://iatiregistry.org/publisher/nchrdk
Institute for Security Studies,ZA-NPO-006-981,International NGO,South Africa,1,https://iatiregistry.org/publisher/issafrica
Nepal Disabled Human Rights Center,NP-SWC-10136,National NGO,Nepal,2,https://iatiregistry.org/publisher/dhrc_nepal
Deloitte Touche Tohmatsu India LLP,IN-MCA-AAE-8458,Private Sector,India,2,https://iatiregistry.org/publisher/dttillp
DefendDefenders,UG-NGO-1406,"Academic, Training and Research",Uganda,2,https://iatiregistry.org/publisher/defenddefenders
Send a Cow Kenya,KE-NCB-2180511703310709,National NGO,Kenya,1,https://iatiregistry.org/publisher/sac_kenya
Global Rights Compliance,NL-KVK-70048436,Foundation,Netherlands,2,https://iatiregistry.org/publisher/grc2018
International Center for Transitional Justice,US-EIN-11-3580024,International NGO,United States,1,https://iatiregistry.org/publisher/ictj
CISU,DK-CVR-19348407,National NGO,Denmark,3,https://iatiregistry.org/publisher/cisu
Mukisa Foundation,UG-NGB-0498,National NGO,Uganda,1,https://iatiregistry.org/publisher/mukisa_foundation
Netherlands Organisation for Scientific Research (NWO),NL-KVK-27367015,Government,Netherlands,2,https://iatiregistry.org/publisher/nwo
Rainforest Alliance,US-EIN-13-3377893,International NGO,United States,1,https://iatiregistry.org/publisher/rainforest-alliance
British Asian Trust,GB-CHC-1127366,International NGO,United Kingdom,1,https://iatiregistry.org/publisher/b_a_t
EDUCATION DEVELOPMENT TRUST - RWANDA,RW-RGB-002-RGB-NGO-2017,International NGO,Rwanda,2,https://iatiregistry.org/publisher/edt_rwanda
